loss,accuracy,val_loss,val_accuracy
396391131.930838,0.36105674505233765,9980173.062911185,0.01315789483487606
349952998.4971845,0.38796478509902954,200179845.74158785,0.780701756477356
244666448.36966157,0.44080233573913574,5202138.2022041185,0.6228070259094238
237331925.60723937,0.4168297350406647,8940698.49712171,0.719298243522644
176243453.35899585,0.44031310081481934,1029494.7756390488,0.07894736528396606
49742861.108982295,0.4540117383003235,7238518.59950678,0.2149122804403305
40521242.342539005,0.5689823627471924,2438184.31880134,0.6359649300575256
20747954.240414515,0.6272015571594238,5212884.268124898,0.9254385828971863
23363065.219759952,0.5151663422584534,4327332.095146313,0.41228070855140686
17802444.552655015,0.7113503217697144,1105733.771668759,0.9868420958518982
12871461.678249635,0.9138942956924438,589445.9244708763,0.3333333432674408
7274259.743679601,0.43150684237480164,832647.6383450635,0.7719298005104065
8384172.209903903,0.9442269802093506,913649.3978035039,0.9473684430122375
6711438.95301517,0.9290606379508972,1104006.0253578038,0.5570175647735596
6390054.2311582435,0.6032289862632751,338251.1824408482,0.859649121761322
