Lon,Lat,site
-83.29444,30.84806,250
-84.98098,32.48354,251
-84.94479,32.5213,252
-84.9316,32.42905,253
-85.04534,33.9285,254
-82.02222,33.43335,255
-85.30098,34.97889,256
-82.80876,32.97488,257
-83.33378,32.88183,258
-155.2881,19.4203,259
-155.11053,19.71756,260
-155.91342,19.50978,261
-155.48018,19.2039,262
-155.77814,19.11756,263
-155.10203,19.55544,264
-158.08861,21.32374,265
-157.85542,21.30758,266
-157.87117,21.30338,267
-157.96913,21.39283,268
-159.36624,21.9496,269
-156.44637,20.781,270
-156.37034,20.90203,271
-156.49363,20.86963,272
-116.34785,43.6007,273
-112.45581,42.97825,274
-116.57128,47.31658,275
-116.56268,43.58031,276
-111.80917,42.01333,277
-114.2525,42.68,278
-113.89029,45.1819,279
-116.23667,47.53639,280
-88.24055,40.12389,281
-88.37251,40.05278,282
-87.73246,41.67099,283
-87.53932,41.68717,284
-87.74993,41.96549,285
-87.72272,41.91286,286
-87.71349,41.7514,287
-87.83235,41.80118,288
-87.87627,41.96519,289
-87.80538,41.78277,290
-87.86322,42.06029,291
-87.79923,42.14,292
-87.7489,41.86443,293
-88.15253,41.77107,294
-88.62494,38.08216,295
-90.32408,39.11054,296
-88.28002,42.0504,297
-88.32937,41.78472,298
-88.24221,42.22144,299
-88.9969,40.51873,300
-88.92559,39.86683,301
-90.14476,38.70063,302
-90.13967,38.70453,303
-90.14317,38.90308,304
-90.10585,38.86067,305
-89.58474,40.69701,306
-89.78846,38.17628,307
-90.51735,41.51473,308
-90.16048,38.61203,309
-89.64416,39.83192,310
-88.11647,41.52689,311
-88.19097,41.22154,312
-89.09277,42.26308,313
-85.10182,41.09497,314
-85.89133,39.23746,315
-85.7401,38.2777,316
-85.66412,38.39382,317
-85.38791,40.1995,318
-86.92916,38.39144,319
-85.96837,41.65691,320
-85.83417,38.30806,321
-86.99012,38.98558,322
-85.93955,39.96088,323
-85.52345,40.00952,324
-86.10972,40.48135,325
-87.44084,41.63613,326
-87.30473,41.60668,327
-87.40591,41.57324,328
-87.34299,41.59851,329
-87.47449,41.5855,330
-86.89122,41.70721,331
-85.65218,40.1257,332
-86.16646,39.74499,333
-86.11447,39.8111,334
-86.21463,39.7889,335
-86.12202,39.77498,336
-86.11541,39.75885,337
-86.13088,39.78793,338
-86.50476,39.15938,339
-87.19925,41.61756,340
-86.21468,41.69669,341
-86.98321,38.16752,342
-86.8525,40.43164,343
-87.53229,37.97444,344
-87.57786,38.01325,345
-87.55802,37.97447,346
-87.4014,39.48615,347
-85.62929,41.16965,348
-92.31602,42.50154,349
-90.21198,41.82328,350
-90.17757,41.875,351
-91.53849,42.60083,352
-91.50348,41.65723,353
-91.39101,40.40096,354
-91.68766,41.97677,355
-95.04495,40.96911,356
-91.06796,41.40097,357
-91.07098,41.41943,358
-91.06261,41.41439,359
-91.0616,41.4069,360
-94.69352,43.1237,361
-93.64312,41.60316,362
-93.7479,41.60352,363
-95.89612,41.26417,364
-90.58761,41.53001,365
-90.60012,41.55,366
-90.62404,41.51208,367
-92.00632,40.69508,368
-96.39476,42.49984,369
-94.68701,38.97446,370
-94.74642,38.83857,371
-95.47594,37.67696,372
-97.36221,37.65111,373
-97.31485,37.70207,374
-97.31691,37.74708,375
-95.71128,39.02426,376
-97.3664,37.47689,377
-99.76342,38.77008,378
-94.6356,39.11722,379
-83.73694,36.60843,380
-82.64041,38.45934,381
-84.47445,39.02188,382
-82.9881,38.23887,383
-87.32334,36.91171,384
-87.07531,37.78078,385
-84.49761,38.06503,386
-85.85263,37.70561,387
-87.46375,37.8712,388
-85.81566,38.23319,389
-85.89804,38.06091,390
-85.65452,38.22876,391
-85.7119,38.1936,392
-88.57251,37.05822,393
-84.28495,37.73846,394
-83.20932,37.28329,395
-82.53532,37.4826,396
-84.61152,37.09798,397
-86.21487,37.04926,398
-93.79518,32.47182,399
-93.57849,30.22798,400
-91.17922,30.46198,401
-91.06255,30.2191,402
-90.27509,30.04357,403
-90.0834,29.88326,404
-92.05151,30.2177,405
-90.11819,29.99601,406
-92.04623,32.50986,407
-92.41075,31.17782,408
-89.97626,29.94475,409
-90.37703,30.50325,410
-90.78006,29.67909,411
-91.21356,30.50064,412
-70.21422,44.08941,413
-68.32111,47.35533,414
-68.0384,46.69842,415
-68.01619,46.6823,416
-70.25618,43.67799,417
-70.26896,43.66025,418
-68.2609,44.37705,419
-69.78672,44.31232,420
-70.54632,44.55142,421
-68.76968,44.79886,422
-76.62793,39.16953,423
-76.63167,39.46203,424
-76.47444,39.31083,425
-75.86005,39.70144,426
-76.14101,38.58752,427
-79.012,39.70595,428
-76.29695,39.41019,429
-76.84611,39.14313,430
-75.79732,39.30502,431
-77.10688,39.11431,432
-76.87833,39.05528,433
-76.74417,38.81194,434
-77.72024,39.56418,435
-76.68538,39.34465,436
-76.54686,39.28777,437
-76.6046,39.29773,438
-73.25509,42.45202,439
-73.25411,42.44801,440
-71.16924,41.68571,441
-70.97082,42.47464,442
-71.10229,42.77084,443
-71.16441,42.69821,444
-72.59669,42.60582,445
-72.55511,42.19438,446
-72.5908,42.10899,447
-72.33408,42.29849,448
-71.11397,42.21177,449
-71.01213,42.06511,450
-71.09716,42.34887,451
-71.0826,42.3295,452
-71.0543,42.3631,453
-71.05606,42.32519,454
-71.79837,42.2601,455
-71.79432,42.26396,456
-86.14858,42.76779,457
-83.89072,43.57139,458
-86.30969,42.19779,459
-84.36421,46.49363,460
-83.67016,43.04722,461
-84.53463,42.73862,462
-85.54189,42.27807,463
-85.67912,42.95612,464
-85.67134,42.98417,465
-83.94656,41.99557,466
-82.79346,42.73139,467
-86.24265,44.307,468
-84.89186,44.31056,469
-83.34573,41.92358,470
-83.1832,42.46306,471
-82.45623,42.95334,472
-83.5996,42.24056,473
-83.2082,42.22862,474
-83.10653,42.30279,475
-83.09603,42.35781,476
-83.00014,42.43084,477
-83.42626,42.42306,478
-83.14875,42.30667,479
-83.1539,42.18729,480
-83.06847,42.32334,481
-83.26619,42.386,482
-83.42504,42.4215,483
-93.20762,45.13768,484
-95.84627,46.85181,485
-95.02917,47.87816,486
-92.51172,46.71369,487
-89.69098,47.97208,488
-94.1303,46.39674,489
-93.23725,44.73846,490
-93.2858,44.70612,491
-93.25476,44.96524,492
-93.25821,44.95366,493
-93.34315,44.94805,494
-91.49557,47.94862,495
-95.81789,44.4438,496
-92.45037,43.99691,497
-93.09827,44.95072,498
-93.03587,44.95939,499
-93.19988,44.9731,500
-92.5363,47.52336,501
-92.08936,46.81826,502
-92.166,46.74366,503
-93.51253,44.79144,504
-94.13345,45.54984,505
-92.78336,45.02862,506
-92.77525,45.02124,507
-93.66921,45.20916,508
-89.98783,34.82166,509
-89.28717,31.32364,510
-89.79278,33.83444,511
-89.39592,30.30083,512
-89.04978,30.39037,513
-90.18272,32.32911,514
-90.22567,32.34672,515
-88.53393,30.37829,516
-94.85858,39.74169,517
-94.57983,38.75961,518
-94.035,37.69,519
-94.37701,39.30317,520
-93.29989,37.25614,521
-94.57079,39.10469,522
-94.45051,39.04791,523
-90.3959,38.44867,524
-90.35031,38.65033,525
-90.26371,38.54255,526
-90.19835,38.65643,527
-90.18987,38.65648,528
-90.28115,38.63114,529
-109.45531,47.04854,530
-114.18927,48.36369,531
-111.98716,46.8505,532
-112.01309,46.65876,533
-115.55331,48.39155,534
-114.0215,46.84218,535
-114.22427,47.01291,536
-107.86247,48.31751,537
-105.37028,45.44029,538
-114.15889,46.24362,539
-104.48555,47.80339,540
-106.48982,45.36615,541
-112.50125,46.0026,542
-108.51154,45.7804,543
-95.97314,41.24749,544
-96.05669,41.19785,545
-98.36497,40.9421,546
-96.68331,40.81259,547
-95.9561,41.13329,548
-103.65656,41.87685,549
-96.14617,41.55121,550
-115.05288,36.04874,551
-115.07873,36.14189,552
-115.11392,36.16396,553
-115.35705,35.78567,554
-115.12293,36.19126,555
-115.36223,36.35779,556
-119.73251,38.89756,557
-119.80772,39.52508,558
-119.74676,39.54092,559
-119.7661,39.1447,560
-71.49634,43.56612,561
-72.27233,42.93052,562
-72.3095,43.6296,563
-71.87863,42.86183,564
-70.74802,43.07537,565
-71.38014,42.86253,566
-74.44874,39.46487,567
-74.431,39.36326,568
-73.97331,40.85226,569
-73.96621,40.85358,570
-75.12529,39.93445,571
-75.05001,39.98904,572
-75.0252,39.42227,573
-74.19289,40.72099,574
-75.28472,39.83081,575
-74.03622,40.77091,576
-74.05229,40.72545,577
-74.80667,40.51526,578
-74.74264,40.28309,579
-74.76317,40.22241,580
-74.42944,40.46218,581
-74.6763,40.78763,582
-74.17045,39.99491,583
-74.16809,40.91838,584
-74.20837,40.64144,585
-74.27617,40.60394,586
-75.06781,40.92458,587
-106.5852,35.1343,588
-106.65739,35.01708,589
-106.59972,32.00371,590
-106.58443,31.79622,591
-106.76834,32.32204,592
-103.12292,32.72666,593
-73.75464,42.64225,594
-73.75733,42.68075,595
-73.902,40.816,596
-73.87809,40.8679,597
-79.31881,42.49963,598
-78.77153,42.99328,599
-78.80953,42.87691,600
-78.76583,42.92111,601
-73.8589,44.39308,602
-73.94771,40.71961,603
-77.55728,43.14501,604
-77.54817,43.14618,605
-73.93432,40.7997,606
-73.984,40.73,607
-73.99518,40.71436,608
-76.05921,43.05235,609
-74.00885,41.49916,610
-73.82153,40.73614,611
-74.13719,40.63307,612
-77.20978,42.09142,613
-73.41919,40.74529,614
-82.58333,35.6075,615
-79.46742,36.30703,616
-81.36556,35.72889,617
-78.95311,35.04142,618
-80.2625,35.81444,619
-78.90542,36.03294,620
-80.22644,36.11069,621
-80.342,36.026,622
-79.80111,36.10917,623
-83.27793,35.46677,624
-78.46194,35.59083,625
-80.78568,35.2401,626
-80.86698,35.15128,627
-80.88865,35.3041,628
-82.06208,35.91249,629
-79.83661,35.2632,630
-77.83861,34.36417,631
-77.35805,35.63861,632
-83.44213,35.43477,633
-78.57417,35.85611,634
-103.37853,46.8943,635
-102.4018,48.64193,636
-100.76821,46.82543,637
-96.85535,46.93375,638
-102.5273,47.3132,639
-103.2995,47.5812,640
-101.76694,47.29861,641
-101.42806,47.18583,642
-103.63951,48.15278,643
-84.0539,40.77094,644
-81.90883,39.44217,645
-80.7464,39.9679,646
-84.3543,39.4938,647
-84.36374,39.49072,648
-84.5666,39.33839,649
-84.40767,39.47885,650
-84.39495,39.47244,651
-84.39711,39.47869,652
-83.80949,39.92882,653
-81.57526,41.55523,654
-81.68238,41.47701,655
-81.65679,41.47178,656
-81.67845,41.49212,657
-81.66242,41.44668,658
-81.81867,41.39629,659
-82.99344,39.99875,660
-82.81555,40.08456,661
-82.9801,39.92853,662
-82.95977,40.0877,663
-83.88705,39.80834,664
-84.36625,39.2787,665
-84.69086,39.21487,666
-84.47897,39.19433,667
-84.50404,39.12886,668
-84.55117,39.10492,669
-80.61558,40.36644,670
-80.60795,40.31951,671
-81.24216,41.72681,672
-82.65924,38.50807,673
-82.11426,41.46307,674
-83.54616,41.64407,675
-83.64226,41.62057,676
-83.47833,41.66257,677
-80.64528,41.11111,678
-80.65852,41.09594,679
-81.9239,41.0604,680
-84.19867,39.75597,681
-81.2352,41.1644,682
-84.72049,39.83562,683
-82.917,38.75465,684
-81.39419,40.78688,685
-81.37301,40.80073,686
-81.46896,41.06353,687
-81.54161,41.08796,688
-80.80116,41.23172,689
-97.46293,34.24419,690
-97.4841,35.3201,691
-98.42879,34.63298,692
-98.93197,36.15841,693
-97.08135,36.69719,694
-97.52709,35.47292,695
-97.57798,35.50307,696
-97.47508,35.61413,697
-95.78437,34.90227,698
-94.52441,35.40814,699
-96.00498,35.95371,700
-95.97654,36.2049,701
-95.88262,36.90818,702
-120.84477,44.29979,703
-119.04872,43.58925,704
-122.87923,42.31411,705
-123.34847,42.43414,706
-121.73137,42.1903,707
-120.35397,42.18921,708
-123.14135,44.06722,709
-123.08374,44.02631,710
-123.0177,44.0467,711
-122.48049,43.74435,712
-123.05349,43.7995,713
-122.60288,45.49664,714
-122.9724,45.5285,715
-122.74789,45.3935,716
-77.30968,39.92002,717
-80.07134,40.49977,718
-79.96076,40.46542,719
-79.86806,40.32377,720
-80.16994,40.37564,721
-80.02167,40.60662,722
-79.72766,40.61749,723
-79.86097,40.40233,724
-79.86357,40.43743,725
-79.88533,40.29434,726
-79.56475,40.81418,727
-80.31644,40.7478,728
-75.9686,40.38335,729
-78.37083,40.53528,730
-76.51273,41.70523,731
-78.915,40.30972,732
-77.87703,40.81139,733
-75.76824,39.83446,734
-77.18675,40.24653,735
-76.84699,40.24699,736
-75.3725,39.83556,737
-75.41397,39.81871,738
-80.03861,42.14175,739
-80.26567,39.80933,740
-75.62306,41.44278,741
-76.28333,40.04667,742
-76.1124,40.04383,743
-76.38345,40.33733,744
-75.4325,40.61194,745
-80.48478,41.21501,746
-75.32328,41.08306,747
-75.34111,40.62806,748
-75.09778,40.00889,749
-75.08083,39.99139,750
-75.18692,39.92287,751
-75.14222,39.96006,752
-74.9848,40.05413,753
-75.20682,39.98884,754
-76.93917,41.64472,755
-79.90222,40.14667,756
-80.26139,40.17056,757
-80.42083,40.44528,758
-79.50567,40.30469,759
-76.69944,39.96528,760
-71.72,41.61524,761
-71.4151,41.80778,762
-71.37997,41.87467,763
-71.41746,41.8295,764
-71.36097,41.84104,765
-71.4237,41.49511,766
-80.06501,32.98025,767
-79.95869,32.79098,768
-80.19879,34.61537,769
-81.85363,33.73996,770
-79.76735,34.21426,771
-82.41459,34.8439,772
-82.2567,34.75185,773
-81.15495,34.05102,774
-83.2377,34.80526,775
-80.9623,34.09396,776
-81.02414,33.99151,777
-81.9248,34.95557,778
-96.8073,44.3486,779
-98.48611,45.4625,780
-97.1288,44.89965,781
-103.48386,43.55764,782
-100.28727,44.37379,783
-101.94122,43.74561,784
-96.70077,43.54792,785
-103.27378,44.0874,786
-103.22824,44.07835,787
-96.70721,42.75152,788
-83.94215,35.76885,789
-86.7389,36.17638,790
-86.87355,36.11825,791
-89.38216,36.05266,792
-85.24293,34.99438,793
-85.29302,35.05092,794
-84.03598,35.9446,795
-83.92577,35.98067,796
-83.95067,35.97807,797
-83.87381,36.01919,798
-87.46995,35.11597,799
-84.31706,35.74454,800
-84.59619,35.45011,801
-88.80958,35.65135,802
-87.0096,35.65188,803
-87.32804,36.51463,804
-85.49211,36.1857,805
-84.5428,35.93908,806
-90.02154,35.16889,807
-89.85025,35.1517,808
-82.5216,36.53876,809
-86.65314,36.29756,810
-98.62017,29.51509,811
-98.31169,29.27538,812
-94.0708,33.42576,813
-94.07778,33.43611,814
-97.49383,25.89252,815
-96.79769,32.77426,816
-96.86012,32.82006,817
-97.0269,32.48208,818
-106.50126,31.76829,819
-106.45523,31.76569,820
-94.86129,29.25447,821
-95.32614,29.90104,822
-95.03123,29.7707,823
-95.25759,29.73373,824
-95.12851,29.67002,825
-95.38769,29.81453,826
-94.16746,32.66899,827
-98.29107,26.22621,828
-98.15207,26.28862,829
-97.43158,27.8045,830
-97.4657,27.81182,831
-97.35657,32.80582,832
-97.34233,32.75914,833
-97.33806,32.66472,834
-97.8723,30.48317,835
-97.71288,30.26321,836
-112.01886,41.49271,837
-111.8522,41.84265,838
-111.88447,40.90297,839
-110.00973,40.29418,840
-112.09472,40.70861,841
-111.87222,40.73639,842
-111.931,40.78422,843
-112.0363,40.49639,844
-112.35341,40.60053,845
-109.56147,40.46471,846
-111.66306,40.25361,847
-111.71361,40.34139,848
-111.6605,40.13634,849
-113.3051,37.17912,850
-111.97552,41.20632,851
-73.24984,42.88759,852
-72.86884,44.52839,853
-73.21444,44.48028,854
-73.2106,44.4762,855
-72.98278,43.60806,856
-78.50397,38.07657,857
-77.05922,38.8577,858
-77.25925,37.34438,859
-77.45118,37.43467,860
-77.59355,37.35748,861
-77.10468,38.77335,862
-77.18347,38.76835,863
-78.08157,39.28102,864
-77.40027,37.55652,865
-77.5664,37.67132,866
-77.48925,39.02473,867
-79.88452,37.28342,868
-78.81952,38.47753,869
-82.1641,36.608,870
-76.38702,37.10373,871
-79.21501,37.33271,872
-76.30135,36.85555,873
-77.46925,37.59088,874
-80.08102,37.29788,875
-76.18123,36.84188,876
-120.34195,47.43061,877
-122.58737,45.64336,878
-122.31972,47.59722,879
-122.33827,47.55975,880
-122.30863,47.56824,881
-122.23028,47.38611,882
-122.6274,47.59267,883
-120.545,46.99364,884
-122.46256,47.22634,885
-122.4517,47.1864,886
-122.61428,48.52059,887
-122.3167,47.8064,888
-121.6031,48.2469,889
-122.17153,48.05432,890
-117.36485,47.67248,891
-122.44028,48.76278,892
-119.99968,46.31932,893
-120.49917,46.59806,894
-120.33266,46.38024,895
-77.96385,39.4481,896
-80.59664,40.34102,897
-80.61181,40.39465,898
-82.4259,38.42413,899
-80.59232,40.42737,900
-80.34225,39.27812,901
-81.62116,38.34626,902
-81.69372,38.36618,903
-80.13467,39.48148,904
-80.73386,39.91596,905
-79.92087,39.64937,906
-80.70097,40.11488,907
-81.55237,39.32353,908
-90.6561,46.6022,909
-87.99344,44.50729,910
-89.3573,43.10084,911
-89.4358,43.0733,912
-88.62111,43.46611,913
-91.143,44.7614,914
-88.8086,45.565,915
-90.6979,42.6938,916
-87.8093,42.50472,917
-91.2269,43.7775,918
-87.93333,43.01667,919
-87.9135,43.06097,920
-87.9321,42.93056,921
-87.92079,43.03987,922
-88.39518,44.30738,923
-87.81,43.4981,924
-89.6797,43.4351,925
-90.5972,45.2066,926
-89.654,46.0519,927
-88.21507,43.02007,928
-105.59172,41.31159,929
-105.2133,43.6483,930
-105.34316,44.09707,931
-105.53976,44.50268,932
-107.11918,41.78339,933
-105.38857,43.42542,934
-108.72,42.53,935
-107.54944,43.08167,936
-108.73628,42.84105,937
-104.54515,42.20345,938
-104.1675,42.059,939
-104.8178,41.13998,940
-104.75308,41.13069,941
-104.77833,41.18223,942
-106.32509,42.85106,943
-109.07297,44.53243,944
-106.95593,44.81514,945
-106.95857,44.79551,946
-109.87076,42.86982,947
-109.22072,41.59161,948
-110.76118,43.47808,949
-110.83083,44.37306,950
-104.20432,43.84989,951
-66.72599,18.17538,952
-66.15062,18.42009,953
-65.61889,18.38398,954
-66.16502,17.95789,955
-66.80225,18.04511,956
-66.11446,18.44009,957
-66.62725,18.00956,958
-115.44694,32.62917,959
-115.50417,32.63361,960
-68.261,44.3771,961
-116.9706,33.4636,962
-101.9412,43.7435,963
-115.0336,51.029,964
-109.4406,34.0584,965
-106.2664,35.7797,966
-103.178,29.3027,967
-86.8148,33.5531,968
-120.1025,38.9761,969
-106.852,33.8695,970
-109.64,42.85,971
-88.3733,40.052,972
-91.4955,47.9466,973
-112.1736,37.6184,974
-109.7579,42.9749,975
-74.4492,39.465,976
-89.76168,30.10863,977
124.6308,37.9659,978
-70.0644,43.8325,979
-115.6709,47.9549,980
-70.0242,41.9758,981
-94.1429,34.4544,982
-109.821,38.4587,983
-111.2926,38.3022,984
-99.7634,38.7701,985
-82.5549,28.7484,986
-109.389,32.0094,987
-84.6265,34.7852,988
-121.0008,45.6644,989
-122.1361,42.8958,990
-113.5551,43.4605,991
-148.9675,63.7233,992
-118.1377,35.7278,993
-79.4261,39.1053,994
-79.78322,44.23115,995
-80.6806,25.391,996
-114.269,47.7734,997
-107.63,39.92,998
-105.1022,48.308,999
-119.7732,36.7818,1000
-79.0122,39.7058,1001
-151.517,66.9025,1002
-111.7107,46.8262,1003
-108.2351,33.2204,1004
-113.9966,48.5105,1005
-114.2161,39.0052,1006
-111.9841,35.9731,1007
-71.2177,44.3082,1008
-91.4052,43.9373,1009
-105.5185,37.7249,1010
-83.9416,35.6334,1011
-104.8094,31.833,1012
-156.2479,20.7585,1013
-155.2579,19.4309,1014
-116.8438,44.9702,1015
-92.9221,36.6138,1016
-119.1771,38.0881,1017
-111.6832,34.3405,1018
-88.1491,47.4596,1019
-115.4261,41.8926,1020
-79.5125,37.6266,1021
-116.3889,34.0695,1022
-119.1546,37.2207,1023
-124.0589,42.552,1024
-151.71149,60.01232,1025
-121.5068,41.7117,1026
-92.0059,40.6932,1027
-121.5768,40.5398,1028
-81.9331,35.9723,1029
-71.3801,42.8624,1030
-102.4022,48.6419,1031
-119.97,38.9248,1032
-72.9098,42.9561,1033
-86.1479,37.1318,1034
-124.62,48.3,1035
-70.7846,41.3309,1036
-114.0684,36.0193,1037
-104.4757,48.4871,1038
-108.4907,37.1984,1039
-90.1432,36.9717,1040
-121.7837,45.2888,1041
-73.2973,41.8214,1042
-113.1544,47.1222,1043
-67.2661,45.1259,1044
-122.1244,46.7583,1045
-106.6766,40.5383,1046
-100.3387,41.8888,1047
-109.3816,44.7448,1048
-121.0646,48.7316,1049
-106.5574,45.6495,1050
-110.93715,31.33745,1051
-82.1283,30.7405,1052
-122.9727,48.0065,1053
-112.8016,31.9506,1054
-118.3308,37.3607,1055
-71.8786,42.8619,1056
-119.9275,48.3877,1057
-109.7692,35.0777,1058
-68.64786,44.94798,1059
-112.0958,33.5038,1060
-112.0958,33.5038,1061
-121.1568,36.4833,1062
-72.8688,44.5284,1063
-122.9085,38.1224,1064
-68.0333,46.6964,1065
-122.3119,47.5696,1066
-81.3378,39.9428,1067
-120.0074,34.7339,1068
-124.0839,41.5608,1069
-105.5638,40.3624,1070
-79.6572,32.941,1071
-105.5457,40.2783,1072
-104.4042,33.4598,1073
